estado,ano,mes,producao_litros,temperatura_media,chuvas_mm,preco_litro
GO,2022,10,14912,24.60000199749498,55.346069969750886,1.52
SP,2021,8,19899,25.131080499090984,83.50580574199086,2.16
MG,2023,1,5939,25.46509428064349,114.19939098562728,2.14
PE,2022,7,22798,26.388539684928702,17.249155296387286,1.81
PA,2019,4,2692,21.729646743756927,95.66277763773341,2.27
PR,2016,5,9480,26.1370058004401,126.27728400950426,2.06
SP,2019,6,14803,25.743436671026018,62.781442009770906,1.51
PR,2022,5,3973,24.001416104367255,26.007232849038814,2.31
SP,2023,12,7364,23.430769488137816,109.93217756937008,2.15
BA,2023,1,6570,21.575695063422874,210.41252144984202,2.55
SC,2015,12,10448,25.44105348637336,64.33839946877228,1.84
GO,2023,9,19107,22.01859144012511,65.64774670223457,2.03
SP,2021,2,12084,24.713642310598946,89.97531173217617,2.42
PR,2023,9,9684,23.69601293154573,178.48637696205384,1.83
PE,2022,10,1000,19.997517732752325,17.379770730361514,2.41
SC,2015,2,14333,21.19968445838102,138.49120656353034,2.42
SC,2022,9,15950,25.214327573320602,76.45334010868301,2.19
PR,2022,6,3499,22.427045658091775,80.76499955712251,2.05
MG,2017,11,11665,22.3247394945374,49.49166401918791,1.91
SC,2015,9,12965,21.708157793266942,87.55144207744192,1.88
GO,2022,6,16823,21.809965431406543,50.93506183723749,2.19
PE,2017,6,8376,28.927999553569045,72.88404571575663,1.24
BA,2017,11,7623,20.64018258898615,0.0,1.93
PE,2015,2,9717,28.418709736995535,13.304380151151278,1.89
PA,2019,8,18422,23.007806337605164,116.83614907982499,1.8
PE,2021,3,17219,22.03873652226637,163.11133769626713,2.16
CE,2023,7,11893,25.15147069149381,261.49145634047636,1.66
MG,2021,5,17098,24.15912235281134,146.22768287866512,2.46
RS,2023,3,1000,23.407500147394007,74.26512943418814,2.37
GO,2022,1,15958,24.659650891480414,0.8184263551808897,2.51
PR,2016,8,6406,24.111594590808803,126.98832151620772,1.94
PE,2015,3,20835,23.35320674598048,27.37372768438597,2.16
PA,2021,2,6678,26.80702313775222,59.64112743937483,2.35
MG,2021,1,7736,19.65906985346652,144.3013693505693,2.06
BA,2022,4,14812,21.256005530506762,114.71025099648041,1.93
PR,2019,8,15294,21.635354498094255,53.54675295531868,2.14
MG,2017,3,9768,20.826190013973275,14.680029476427563,2.04
PA,2022,1,13857,24.25777982799722,110.61217439730731,1.78
GO,2020,4,14476,25.516258677223476,116.7848291077371,1.39
PA,2017,9,13965,18.112408516437235,175.1930843053752,1.82
RS,2015,1,9977,22.57784078089258,0.0,1.39
BA,2017,12,14526,23.035009258352652,105.91089356493787,1.84
GO,2019,11,19031,23.14243213152771,145.83841353621864,2.53
PR,2017,2,5872,20.14473609040042,78.98770370643818,1.55
PA,2015,9,7799,23.060037381517112,20.16700992380943,2.23
PA,2019,2,12136,21.266631324389685,53.76053246972662,2.47
GO,2021,3,6718,22.99686867989604,101.87076553567317,1.63
SC,2021,7,2982,18.841117444003395,75.64997220546142,2.64
SP,2023,3,17465,23.017321729893062,115.19438796429128,2.08
SC,2017,9,1000,21.84289921211252,163.96763381830448,2.51
SC,2021,6,9988,23.212556856759335,80.03368083101462,2.18
SP,2015,3,15794,24.902378130943422,160.9862936460465,1.96
RS,2018,9,13333,23.86579481875434,94.21732835072996,1.23
RS,2018,1,10063,26.380185605326673,116.94646923998388,1.77
MG,2019,10,6512,22.917700760410973,94.14479719553859,2.3
MG,2021,3,13719,25.85665445359528,118.24143944710823,2.56
PA,2021,1,7058,27.374961319140493,126.93704628379747,1.68
GO,2018,2,13329,24.82127911639186,132.09053780001156,2.08
CE,2021,12,12704,23.937606508403366,100.16221720390996,1.97
CE,2017,8,12755,25.243086252536365,0.0,2.23
MG,2020,7,8798,24.927250852363372,129.77691610999673,2.13
SC,2016,2,22175,27.003729024279775,1.485569197391797,1.99
GO,2023,2,13791,26.381398378529596,69.65573691414437,2.29
PR,2019,9,10606,26.41748163127432,0.0,1.89
RS,2020,6,13321,24.13207787268543,184.92766030336105,2.1
CE,2018,5,8127,25.023679898077454,120.86517307518088,2.33
PA,2021,10,10068,24.967578789767902,83.70941087551331,1.88
BA,2023,6,23959,20.377861793676885,170.9452034737592,1.99
PE,2021,9,8163,27.206748055275938,126.60144180586774,1.93
PR,2015,11,11611,18.992128410166593,106.22953789710336,2.24
PR,2015,7,9719,26.136559972881113,119.75721665784532,2.2
GO,2023,10,6801,24.800988290573123,80.89692563226407,1.94
GO,2023,10,14105,23.147135316692385,38.01577820659939,2.2
RS,2018,9,12182,25.173570476478755,148.04458375077303,1.26
SP,2023,4,16555,25.255707978688346,96.45152650769768,2.35
CE,2017,2,16052,20.07660027974077,12.043890244298993,2.37
SP,2021,12,16503,28.248378846244517,125.36884413817107,1.95
CE,2020,8,7408,24.216414161555,102.04283606569092,1.89
PE,2022,4,15204,30.94419691362276,184.99098189761818,2.08
PA,2023,9,15326,26.369313085910118,113.42661594643597,1.83
SC,2019,4,6894,24.148192040746153,40.9471862185117,1.87
BA,2015,8,10406,21.929882142022148,10.492381690165786,2.19
RS,2017,9,4719,23.667481388421812,163.21472935576716,2.34
SP,2022,9,15348,24.449492185747996,96.81879665738232,2.2
PE,2020,10,15325,28.396290462983163,56.709786870405864,2.97
SP,2022,4,19151,27.679979502931587,64.01674154122136,2.47
PE,2023,1,10856,25.35446544742484,164.91720480526774,2.32
BA,2018,3,14257,29.30757350770999,123.59045496268669,2.31
CE,2015,9,16938,17.951456611198346,154.85887751911477,2.13
PR,2015,4,8230,25.388362159584922,112.26073523521866,2.25
PE,2018,5,7470,27.766955755561305,58.168882516906024,2.16
SC,2021,7,8385,25.642313314246653,189.32885619893673,2.42
PE,2016,5,10253,20.001576063529505,80.44751370104538,2.02
BA,2017,4,7647,28.168329400553382,140.22054854617883,2.0
SP,2015,2,8600,26.2840456901203,154.21076020706815,2.45
SC,2019,2,16404,25.02903588064038,100.3133119957537,1.96
RS,2015,4,11518,24.265073973468215,44.33884717614697,1.82
PA,2022,10,13533,29.981106204446263,66.092047847649,1.88
PA,2015,10,9246,25.333552631198856,133.85915715582132,2.32
PA,2015,9,8918,23.27424102378851,126.6910035125951,2.9
PA,2016,8,13427,21.56586449731332,165.03316833828018,1.83
SP,2016,3,12630,26.272587417625843,156.9647112236674,2.29
RS,2020,9,15889,26.958700185826803,52.35144875308963,2.15
PR,2021,5,18507,24.16954666345107,172.18207375897964,2.44
PA,2019,11,8542,22.32666456046177,48.69118460182692,2.29
SC,2015,3,16305,27.99016979463615,129.73973532883036,2.46
PA,2015,5,6600,21.337753746909502,221.07325664809042,2.19
MG,2017,10,22368,29.90833614399594,115.6242499098652,1.85
GO,2016,4,8068,21.796398544955906,11.06091350424083,1.9
GO,2019,8,15453,20.165105958453996,83.7051191057063,2.16
PE,2020,12,6563,20.548899907909902,208.74188535315903,2.24
SP,2021,5,11239,20.670837515120297,89.6451594231682,1.98
SP,2018,10,19728,23.290211687889457,166.34970167439548,2.7
MG,2021,12,7911,22.59548245319747,52.1688183946152,2.38
RS,2022,8,23020,27.073919474492147,82.21613263759772,1.47
SC,2015,9,11973,26.64622444586844,89.21480111356948,2.06
PE,2020,4,16878,23.32946682295293,197.54570856369133,1.79
SC,2022,7,14014,33.31015321729461,84.70300731055754,2.67
CE,2019,2,14285,23.28971679964502,5.727891358797407,1.43
PE,2018,6,4869,23.689450934811404,219.09911847042918,2.23
PE,2016,8,9635,20.167746155602845,111.37336339403493,2.14
SP,2020,12,17979,23.758379026125088,132.73319813657565,2.34
MG,2020,7,10278,24.892202074173298,19.65710268185788,2.2
GO,2015,7,12694,20.447337318318567,112.8882276704276,2.72
SC,2023,8,4262,22.503925725570916,100.95483561560457,2.38
GO,2020,7,9312,24.98103218992684,51.68708061699857,1.55
SC,2017,5,17615,22.42549356269769,133.39780224605497,2.52
PE,2018,7,5586,21.797522482887164,14.681241689924079,2.16
SP,2018,10,15585,26.34639904261183,51.33480541536114,2.52
MG,2017,3,12888,20.153658566600807,160.59770263324083,2.0
PA,2017,5,10820,20.73623286421903,63.7082847931271,1.78
PE,2017,7,10600,24.53213802175284,75.33210154707436,1.72
PE,2018,9,9544,26.538477788220852,104.50001414886617,2.42
PE,2021,2,9990,24.91657189867986,81.40263676527145,2.34
PA,2018,4,16648,23.32833823393137,134.54435643811922,1.92
SC,2023,12,9839,23.083834142387722,108.79890445028073,1.3
SP,2015,7,21037,27.03132564847961,24.667793887312314,2.43
PR,2022,1,13497,26.577004298912048,63.25629666798236,1.49
CE,2021,2,9118,24.149547755528715,57.84807367809627,2.75
PE,2016,9,16866,23.167143902590446,76.82958327507473,1.67
PR,2022,10,15119,24.10581657793591,105.59883830403751,2.1
PE,2015,7,3729,21.818407654220778,115.31438253231983,2.17
PA,2023,12,6827,23.5494730458153,0.0,2.21
GO,2023,10,11422,22.531389984028305,151.25296963126146,2.2
CE,2016,7,4081,23.69746554486462,95.45661595713003,2.14
MG,2021,6,22452,22.638947191017294,43.98009440495964,1.97
GO,2017,3,16111,25.571855621814,147.61602011654094,2.03
PR,2021,10,11933,26.455216199548307,0.0,1.9
RS,2023,3,10286,22.860852539355935,21.213786850089264,2.13
BA,2018,2,9001,21.564360993399806,206.45779312049638,1.57
PA,2015,11,2179,26.13486520255252,107.31529872701061,2.19
PE,2016,6,3335,24.554276438365324,63.13766648119883,2.07
PA,2015,4,21505,22.899791764448935,105.42491696315479,2.35
GO,2019,5,19867,28.12665574008962,90.92152729034439,2.01
MG,2019,3,9121,22.30489721860052,101.78877426478927,2.28
GO,2021,6,16539,18.021191052959473,124.45672435372683,2.27
SC,2023,11,14532,21.876121888104006,90.09875505206493,2.06
GO,2023,12,15121,28.85513543067394,117.73454930196785,2.21
RS,2017,3,4874,23.04688880679958,92.09877599568595,1.7
CE,2017,8,2959,22.453682125692126,58.95663662951025,2.5
PA,2017,9,17912,24.079809363760692,44.696577351914435,1.94
PA,2018,4,2103,27.033189263678704,165.95380956841373,2.05
PR,2022,9,11259,23.751300027848526,132.37037632998846,1.78
BA,2020,12,10161,25.77404274572592,151.85311448822137,1.87
BA,2022,7,9699,23.432201307189576,100.18832017541268,2.59
RS,2015,3,13572,25.7976335134391,111.28354829815939,2.14
SP,2022,7,8612,24.540788381704534,91.08178013932596,2.01
PE,2018,1,13978,22.80602467533233,157.8745365601249,2.01
SC,2015,3,12705,24.77427592980401,82.75769832062218,2.1
BA,2022,6,22493,22.3724702768558,50.79842913747768,2.32
MG,2018,4,5072,19.865434944500684,126.06386861081063,2.16
PA,2020,7,12146,23.940336618443585,92.39320566032124,2.16
MG,2022,3,14156,20.131876926330452,112.49594970121703,1.82
PE,2018,1,10717,25.792288606586663,135.55628800543226,2.01
PR,2017,9,5314,23.88752768482554,71.04379789322257,2.15
PR,2023,6,18285,28.2698758452715,89.05388632939939,2.09
CE,2017,8,13684,23.00928866692726,84.47944808700117,1.98
SP,2023,3,5665,23.939918409469428,164.3395501226505,1.95
BA,2016,8,14193,19.591121846560462,100.71597538986147,2.23
GO,2016,2,20507,20.687720066488364,107.81885959963081,2.24
GO,2016,12,11818,18.96383171295442,42.177986318429205,2.4
PA,2020,4,11988,27.232481433438494,136.5397295156849,2.16
RS,2017,3,19840,22.621337055017644,121.40536967258174,1.48
PA,2023,10,7148,27.981239254180213,58.23808174374752,2.81
GO,2018,1,20637,15.958166597778495,196.14967274142458,2.1
PA,2015,7,16864,28.644223195632325,116.8597211254281,1.98
PA,2018,11,7378,23.795931327885366,68.81948046971792,2.08
BA,2015,10,8658,25.01954216689599,99.85738646634255,1.98
PE,2019,2,9375,20.811171809450492,81.5713545346681,1.85
PR,2018,4,2832,25.58186975651198,177.1938580528001,2.28
PA,2022,9,13302,22.878257561834367,146.65903861811054,2.06
PA,2022,6,7605,20.4181373338643,122.70175479378155,2.07
RS,2021,8,13482,20.377000941294195,185.84229652760985,1.35
GO,2017,2,5545,20.3239486902531,48.088463475403934,2.03
PA,2015,7,16615,25.14071878739049,138.79487744957328,1.78
CE,2015,6,15688,22.093105152415205,127.36252215336933,1.94
PE,2017,9,8470,19.07971873287049,88.47735491390928,2.17
PA,2020,7,13798,25.107898542113126,88.70063252443555,1.92
PE,2021,1,12414,17.481811430392007,146.1589152811459,1.96
RS,2020,8,19411,27.98721629098229,142.49443231104456,2.13
MG,2020,11,6837,29.959231728819756,28.886990889491543,1.95
RS,2020,10,11238,20.062728973419784,190.82102856807217,1.78
RS,2017,3,8796,27.15735189484213,157.13793492080725,1.58
GO,2020,2,12224,25.047294007216514,85.92306949213095,2.2
RS,2022,12,14666,22.49988397035216,60.43752351162161,1.95
SP,2016,3,8740,22.639882738110487,155.52229720946494,1.6
CE,2019,11,10179,25.963434938730323,124.82004984893476,2.47
GO,2015,6,16830,23.880147607189624,135.82036956495213,2.2
BA,2015,3,18786,16.217372528079466,128.54272820575505,1.74
RS,2019,10,14467,30.21904320901057,160.72737210024798,1.89
SC,2017,5,11310,25.29952255795441,142.79682293500372,2.41
SC,2018,6,10834,23.843967657548863,73.30613921632371,2.05
PR,2017,8,14740,21.84473028094547,70.37705621082881,1.97
PA,2015,7,13138,23.433118489000705,117.79756074221632,2.33
SP,2015,11,3755,27.807561776553573,214.48731922366676,2.05
SP,2019,8,14861,24.784855303638604,92.5106891439949,2.47
PE,2020,3,7697,25.126123873344014,118.15610080927237,1.98
PR,2017,4,4915,20.252488141059327,144.72974334807535,1.93
SC,2023,6,3658,22.951109171319832,79.03948301571566,2.1
RS,2019,11,10919,24.153154520230043,139.87420575660835,2.39
CE,2022,7,6917,26.089699030372625,100.69893118098425,2.17
PA,2015,9,1000,22.75255137036404,162.4948251272993,2.13
CE,2019,1,10207,26.783606296425642,52.77061546158399,1.86
SC,2017,8,9547,20.566940374963675,215.69436367130152,1.81
SC,2015,8,11250,24.208608969260887,84.3754326080183,2.39
MG,2018,6,8855,23.707155363304636,126.07326818509316,2.42
PA,2019,4,21146,19.453420615843232,100.24406203092961,2.41
PE,2021,3,14586,23.85687552997231,46.0674003774458,2.34
SP,2015,11,9501,22.25218643830159,141.66278162993765,2.23
PE,2017,3,11681,28.24132418247878,86.78438541618752,2.23
SP,2016,6,19073,22.76923189223674,126.28599029435284,2.14
MG,2023,8,16783,25.052611603778143,59.74340058070398,2.27
PE,2020,7,5018,20.306874051553976,87.00917330535482,2.09
PR,2017,11,7128,24.70970668023967,85.27752764875491,2.27
PA,2022,1,8090,22.75486107417135,127.53074818878846,2.38
GO,2022,11,9801,21.67117054809607,115.39219164585947,1.72
PA,2016,6,9022,32.50167669581233,91.17031531013133,2.43
PA,2020,7,12170,22.939652913750393,81.50279107181386,2.08
MG,2021,12,15678,23.36415321202818,115.74550659159502,2.54
CE,2016,7,16513,26.705980358250414,109.88576873289597,2.48
SC,2016,9,10366,21.694719955421984,106.44616562749889,1.79
BA,2015,11,3826,25.209816832232608,198.46701684097965,2.1
GO,2022,11,6797,25.53096123733254,127.59681699415361,1.54
RS,2015,10,9401,24.734101279385122,196.20167499002463,1.98
CE,2023,5,5774,30.889017947788076,96.52470250104892,2.21
SP,2020,1,17704,21.587192851413995,97.57933703939665,2.35
PA,2021,2,6102,28.612801804721936,74.72899824725287,2.12
MG,2021,4,15085,25.4164212072767,115.09536857667698,2.23
MG,2017,5,3590,26.728348839569804,83.7168389342,1.89
PA,2016,9,15286,25.02370311505028,76.5921162576211,2.09
SP,2023,11,11303,29.63483205523256,4.984958279131618,1.92
GO,2022,1,19562,23.039766230183613,173.2922579491792,2.18
GO,2021,3,6342,25.491660715330106,80.83676558321054,2.52
CE,2023,5,9179,27.91641882171203,173.74857157905757,2.08
PA,2018,3,10147,22.323471908786225,95.18762270274824,1.69
PR,2018,4,11237,27.001310031890075,132.2292446535658,2.16
PE,2015,3,10270,23.94408523321698,103.71494813873572,2.31
PR,2022,4,10366,20.295349117996867,120.73502569919727,1.82
RS,2017,1,10284,19.64523126435034,49.54819181657514,2.47
PR,2021,12,1644,23.727540499873843,159.11750659944684,1.92
MG,2016,8,16966,26.972655364813043,81.65798411297638,1.87
CE,2016,4,26305,17.763091305097447,146.28383178053812,1.57
BA,2021,7,13491,24.601350117386538,26.96648087410047,2.18
SC,2020,2,6321,26.677131404654723,62.27454265930731,2.64
RS,2017,2,6827,20.166150344036406,118.58910500391376,2.21
BA,2023,6,15065,22.098100123109994,91.81835021750325,1.88
PA,2020,2,13927,25.71710082473295,122.84316281842308,2.25
PR,2020,6,10578,26.545613842025965,110.37918060476886,2.34
SC,2015,11,15767,28.812294666597104,191.39717357324298,2.45
BA,2018,2,1680,22.24097759609982,127.01724572682085,1.73
SP,2020,4,15770,21.55326943668546,78.36597507486879,2.57
RS,2020,7,13188,28.958056394045833,80.33818201664165,2.16
PE,2019,8,7020,21.735174401460743,160.2063870231727,2.63
RS,2015,3,4833,25.521856522801915,23.58292089185595,2.15
SC,2022,9,12606,30.549344569296366,127.95974953543333,2.27
BA,2019,2,19036,26.258126080818556,44.210982158701285,1.82
SC,2019,8,10859,26.349810650810188,155.4613767967104,2.4
PA,2021,8,7736,27.834198314296284,78.38835738338125,1.78
CE,2018,4,12956,25.574602733655926,126.3118000926,2.18
SC,2020,1,21104,26.364211204808882,101.85966393103347,1.97
GO,2018,1,14156,22.97223115758811,30.66521128662191,2.07
MG,2017,2,14697,27.47988740052423,132.01599777472495,2.43
PR,2021,12,18113,25.240444847638685,63.95668750834368,1.99
PE,2022,9,14362,19.565792728222377,140.09252411253595,2.43
MG,2018,2,8095,24.72883173705245,49.90000909120326,1.98
GO,2016,2,3277,17.491055753446332,112.1032810677156,2.14
SP,2017,6,7391,26.141738896976587,101.9532255367012,2.74
CE,2015,7,6476,23.299345369270856,69.87080934096463,2.14
PE,2022,7,15296,29.7166580014312,168.98750319388415,2.08
CE,2017,9,15991,25.468893794070457,101.67710469124013,2.14
CE,2021,6,12877,26.772544773071804,78.91726164032232,2.0
SP,2019,8,5656,20.852330249858944,114.93776397871146,1.8
SP,2019,11,20932,26.053724175107543,27.21591367032424,2.72
CE,2021,6,9918,22.07802593219171,222.58493379505447,1.98
SP,2023,2,15017,27.271553024228005,45.7152134001679,1.64
PR,2019,1,12246,20.644943321998554,127.58955595275268,2.05
SP,2015,5,13043,24.3294220585708,103.05586513488085,2.21
MG,2015,9,14840,20.526352704250233,159.0214178623968,2.04
PA,2016,8,8519,24.37742986045588,108.89605050395788,2.09
SC,2020,4,18527,30.067460718001744,68.08535374443429,2.05
BA,2023,5,4102,26.163804240769583,7.101198755363157,2.23
RS,2022,5,6807,23.90211449427193,10.994838143854096,2.35
PE,2019,6,18462,16.61352262984486,88.09901899415215,2.04
BA,2015,3,14950,22.392938645569302,168.51714047553799,2.88
MG,2021,5,24701,25.423960937272035,16.39254822380751,2.41
CE,2019,2,12341,22.467426973192847,192.46843957833312,2.1
BA,2020,10,20502,28.28145074389032,154.34689500163495,1.7
RS,2021,1,2712,24.21461448735181,32.56411391125788,2.13
GO,2017,11,4932,27.23578534833562,45.74104739339424,2.34
PE,2017,1,16477,24.614702573931375,50.7786039736222,2.35
SP,2019,10,3298,23.17205357067975,114.96435739707695,1.54
RS,2020,7,11013,22.58602048928882,97.18915939357639,2.13
SC,2023,2,17836,20.963537885033162,95.31861070156955,1.96
SP,2019,4,14505,27.28983955038616,74.7684005408205,2.55
BA,2015,5,12055,22.715964203837395,108.9094636010908,2.14
CE,2018,7,9754,25.566890524849775,141.85665399592867,1.41
SC,2019,2,13011,22.42276505019586,93.59008795739234,2.21
RS,2019,6,14886,20.750913286223046,66.8662974032745,1.52
SP,2021,1,8695,25.665422431876706,149.60537105757555,2.24
PA,2018,7,13858,21.75988831115731,88.93259158056608,2.88
CE,2015,9,17392,22.798538265398587,127.59846816924502,2.51
CE,2019,5,10887,20.253934543714234,95.0051210366758,2.18
CE,2021,5,12340,22.520630245261593,154.252090898653,1.9
PA,2020,4,14418,24.072321504863684,161.66214912428765,2.48
RS,2019,3,14756,23.13752705962641,159.9150219633971,2.29
MG,2018,9,16392,26.454679849378845,72.40619744071014,2.02
CE,2016,5,6928,24.43656222919654,71.89412039620302,1.94
SC,2018,8,9355,33.26194143333703,143.6869409045666,1.83
SP,2017,9,9540,25.27275176300656,96.77110606736228,2.21
GO,2015,5,7480,18.793537394497065,98.28987042843843,1.97
CE,2022,10,3007,23.361352752268065,65.25436112219423,2.15
PE,2019,9,1000,23.621255556751237,170.4713314781754,2.38
GO,2018,2,17977,22.159106284859146,152.02463188649108,1.97
GO,2022,9,4230,24.217832502708657,94.05094042750245,2.29
PE,2021,11,19832,22.069808813398872,67.7303452705945,2.47
CE,2016,4,15697,24.998459396829585,65.51691412657425,2.22
PE,2015,6,9971,18.27393686168753,106.6619143293222,2.31
MG,2018,6,15082,27.432475415375745,119.3384951515397,2.22
SP,2022,6,14125,19.265128871548768,56.87891401322767,2.1
GO,2016,2,6491,23.209333343950394,37.75642242772559,2.35
PE,2017,7,11925,21.801879632708477,103.98271116962658,2.58
PR,2015,6,7100,24.917760213142238,143.23313839303327,2.36
PR,2015,11,15270,23.450276667794014,103.69162898988874,2.04
SP,2017,1,8423,24.75495199703892,87.53160808259557,2.05
PA,2019,2,11516,27.33357723436283,43.49998119537718,2.06
MG,2017,7,11301,26.305846313000885,68.30060250165337,2.38
PA,2015,1,12607,24.10892202522468,143.9206489753827,1.94
CE,2015,1,20312,25.378523299915983,37.33959793790643,1.79
SC,2022,1,10795,29.88002255644678,188.63615508779424,2.24
CE,2016,8,18089,26.412714884048025,104.25355695993166,2.11
SP,2017,4,14399,23.119386197138347,20.683246243405478,2.54
PA,2016,4,19092,27.83359301217039,125.1618701938611,1.42
BA,2017,2,10307,25.17393096245833,122.51108166113744,2.16
SP,2021,11,15480,21.111675446198806,78.119098785673,1.98
PA,2015,11,11703,23.45783312945466,146.9651691781169,2.34
SC,2022,11,1000,19.58322790955108,69.00736858214054,2.02
CE,2016,1,6550,17.144939688203817,131.5993566586972,1.93
RS,2017,12,14911,21.1528791263533,98.2609965065529,2.38
MG,2023,10,14581,24.367743206041418,85.82064198903083,2.48
PR,2021,9,5525,24.376526623446562,167.14975388701498,2.07
PR,2018,7,13101,19.76527294462481,149.1772896203782,2.08
GO,2019,4,14516,16.863714218223894,44.62696098251144,2.48
BA,2016,12,11826,28.41228742296215,119.01509012224143,2.45
BA,2022,6,15644,24.285879357480702,194.67261614122594,2.41
CE,2018,2,14962,28.667135933748746,168.44422926549663,1.98
MG,2023,7,11824,28.49577329050711,54.53151636818892,1.9
PE,2019,2,9445,26.204129002718986,179.79898675186325,2.59
PE,2023,10,17212,24.177430745075377,146.50185986116406,2.28
PE,2018,8,14315,22.807047557413682,47.571376587587544,1.88
RS,2019,8,5092,26.155789569750112,110.38373902421239,2.07
PA,2023,1,13104,23.520426402492784,123.88310690477505,2.13
PE,2022,8,6244,22.23114221231854,46.15341268715305,2.07
SP,2017,2,7177,17.706285947133406,135.304706703594,2.01
PE,2015,6,8740,23.750684074750183,221.4878012901823,2.47
PE,2017,1,12224,27.29001266248839,168.2613033840084,2.26
RS,2018,5,13872,27.777949739685152,108.09941718281048,2.78
PR,2016,11,9955,24.15983613169461,85.93147322363785,2.49
CE,2015,7,10174,21.33386894817982,116.41942707765013,2.14
CE,2021,10,9483,26.7082315665564,51.23911031910001,2.53
PA,2022,1,17237,23.953903657059776,76.12276038324856,2.21
CE,2021,2,1000,22.902973995820176,1.911459241229224,2.83
PA,2019,7,10456,19.632255241602582,121.72797734566988,2.01
GO,2015,6,19724,30.311284430837382,83.1249557505542,2.24
MG,2021,3,14586,26.215195347181613,130.90257314190865,1.92
PE,2021,10,18334,26.538745525717502,105.98849907703742,1.99
CE,2023,2,1828,21.411572209175684,49.45972147440991,2.0
PE,2017,10,5788,24.239249002465495,110.02445025083983,2.47
MG,2023,4,14570,23.755518402121524,64.32649753553665,2.16
GO,2015,3,19753,26.346283833058685,182.77165404515597,1.36
CE,2015,7,6293,28.079155368434417,57.825725186146116,2.13
CE,2018,8,10061,19.69735320792909,76.4963140096022,1.81
